id,key,value,type
2309471792,power,tower,regular
2309471828,power,tower,regular
2309471865,power,tower,regular
2309763067,power,tower,regular
2311635337,power,tower,regular
2319809118,home,sandeep rawal,regular
2327920295,place,hamlet,regular
2431689363,name,Golf Links Pvt Housing Society,regular
2431689363,building,residential,regular
2431689363,city,Pune,addr
2431689363,postcode,411006,addr
2431689363,levels,11,building
2432308145,train,yes,regular
2432308145,public_transport,stop_position,regular
2432308429,railway,buffer_stop,regular
2442951169,highway,traffic_signals,regular
2455119449,name,Burger Barn,regular
2455119449,amenity,fast_food,regular
2455119449,cuisine,burger,regular
2455119449,city,Pune,addr
2455119449,street,Lane Number 2,addr
2455119449,postcode,411038,addr
2455119449,housename,Bhosale Garden,addr
2463897146,railway,buffer_stop,regular
2509520919,name,Alankar Police Chowki,regular
2509520919,source,Bing,regular
2509520919,amenity,police,regular
2509520919,mr,अलंकार पोलिस चौकी,name
2537620602,name,Papa John's,regular
2537620602,amenity,restaurant,regular
2537620602,cuisine,pizza,regular
2537620602,mr,पापा जॉन्स,name
2550481371,name,Mother care Diagnostic Center,regular
2550481371,note,Mother care diagnostic Center is a leading one stop diagnostic center in Pune India.,regular
2550481371,email,atul_sanghavi@yahoo.com,regular
2550481371,city,Pune,addr
2550481371,street,Alandi Road,addr
2550481371,postcode,411015,addr
2550481371,housename,Mahalaxmi Vihar no. 83,addr
2550481371,bitcoin,yes,payment
2561173070,name,Café Coffee Day,regular
2561173070,amenity,cafe,regular
2561173070,mr,कॅफे कॉफी डे,name
2580387043,highway,traffic_signals,regular
2707429517,natural,tree,regular
2708240126,natural,tree,regular
2708240366,natural,tree,regular
2708240577,natural,tree,regular
2801569152,name,Asian Melange,regular
2801569152,amenity,restaurant,regular
2801569152,mr,एशियन मेलॉंज,name
2852763532,highway,turning_circle,regular
2857582472,natural,tree,regular
2858096479,natural,tree,regular
2858176018,atm,yes,regular
2858176018,name,"Bank of Maharashtra, Bajirao Path Branch",regular
2858176018,brand,Bank of Maharashtra,regular
2858176018,amenity,bank,regular
2858176018,mr,"बँक ऑफ महाराष्ट्र, बाजीराव पथ शाखा",name
2858176018,operator,Bank of Maharashtra,regular
2864314851,bus,yes,regular
2864314851,name,Guruganesh Nagar,regular
2864314851,mr,गुरुगणेश नगर,name
2864314851,public_transport,platform,regular
2864314881,bus,yes,regular
2864314881,name,Sonya Maruti Chowk,regular
2864314881,mr,सोन्या मारुती चौक,name
2864314881,public_transport,platform,regular
2868930216,name,Sahyadri Clinic,regular
2868930216,amenity,clinic,regular
2868930216,mr,सह्याद्री क्लिनिक,name
2870389536,bus,yes,regular
2870389536,name,Kanyashala,regular
2870389536,mr,कन्याशाळा,name
2870389536,public_transport,platform,regular
2977616836,power,tower,regular
2977616866,power,tower,regular
2983247921,power,tower,regular
2983248069,power,tower,regular
2983248114,power,tower,regular
2983248160,power,tower,regular
2983248206,power,tower,regular
2983248245,power,tower,regular
2983248302,power,tower,regular
2983763263,power,tower,regular
2983763308,power,tower,regular
2983763398,power,tower,regular
3238255115,access,public,regular
3238255115,amenity,toilets,regular
3256870786,amenity,atm,regular
3256870786,operator,HDFC,regular
3376049727,name,Viraaj Skoda,regular
3376049727,shop,car,regular
3385571866,name,Khadakwasla,regular
3385571866,place,village,regular
3385571866,mr,खडकवासला,name
3547594671,name,Pul Deshpande Garden,regular
3547594671,leisure,park,regular
3583535426,name,ICIC Bank,regular
3583535426,amenity,atm,regular
3594809413,name,Shiv Parvati Gift and Toys Shoppee,regular
3594809413,shop,toys,regular
3657496191,name,Pandit Automotive,regular
3657496191,shop,car,regular
3657496191,brand,Tata Motors,regular
3657496191,phone,02025445266,regular
3657496191,mr,पंडित ऑटोमोटिव्ह,name
3657496191,website,http://panditauto.com/,regular
3698253905,name,Teerth,regular
3698253905,tourism,apartment,regular
3708791476,name,Paud Road Post Office,regular
3708791476,amenity,post_office,regular
3708791476,operator,INDIA POST,regular
3708791476,city,Pune,addr
3708791476,street,Paud Road,addr
3708791476,postcode,411038,addr
3721775728,name,Pramukh Medicals,regular
3721775728,amenity,pharmacy,regular
3740998863,name,Sinhagad Vikas Udyan,regular
3740998863,leisure,park,regular
3740998863,operator,Pune Mahanagar Palika,regular
3754528428,name,Lake Vintage,regular
3754528428,tourism,apartment,regular
3754528428,description,Project by M/S Gokhale Patwardhan Co.,regular
3810652127,power,tower,regular
3836998960,name,Belbag Mandir,regular
3836998960,amenity,place_of_worship,regular
3836998960,mr,बेलबाग मंदिर,name
3836998960,religion,hindu,regular
3837531771,name,Marne Paan House,regular
3837531771,shop,paan,regular
3837531771,mr,मारणे पान हाउस,name
3945862099,power,tower,regular
3983895302,name,Darjeeling,regular
3983895302,level,0,regular
3983895302,amenity,fast_food,regular
3983895302,cuisine,tibetan,regular
3983895302,smoking,yes,regular
3983895302,takeaway,yes,regular
3983895302,city,Pune,addr
3983895302,street,Pashan-Sus Road,addr
3983895302,postcode,411021,addr
3983895302,drive_through,yes,regular
3991308548,name,Egg Bhurji,regular
3991308548,amenity,fast_food,regular
3991308548,cuisine,egg,regular
3991308548,city,Pune,addr
3991308548,street,Shivshakti Chowk,addr
3991308548,postcode,411021,addr
3991591625,name,Anglo Urdu Boys High School,regular
4061013196,name,The Breakfast Cafe,regular
4061013196,amenity,cafe,regular
4061013196,cuisine,cafe,regular
4082974366,name,World Trade Center,regular
4082974366,city,Pune,addr
4082974366,street,Kharadi,addr
4082974366,postcode,411014,addr
4225728290,name,morya hospital ,regular
4225728290,amenity,hospital,regular
4452518042,name,Papillon,regular
4452518042,shop,beauty,regular
4508383291,shop,jewelry,regular
4508383291,en,Tanishq,name
4519367791,shop,department_store,regular
4519367791,en,Farmers' & Grocers' Neighbourhood Market,name
4614226665,amenity,university,regular
4614226665,level,*,indoor
4614226665,name,Defence Institute of Advanced Technology DIAT,regular
4614226665,website,http://www.diat.ac.in,regular
4624928648,name,Softworld Solutions,regular
4624928648,office,it,regular
4641111538,natural,tree,regular
4641111568,natural,tree,regular
4641112840,natural,tree,regular
4652657989,amenity,place_of_worship,regular
4652657989,denomination,hindu,regular
4652657989,name,Ganesh Temple,regular
4652657989,religion,hindu,regular
4678212192,amenity,restaurant,regular
4678212192,en,Pure Veg,name
4694287196,street,J. R. D. Tata Flyover,addr
4694287196,en,Kasarwadi,name
4694287196,shop,bookmaker,regular
4711650608,highway,traffic_signals,regular
4717871956,name,Vasantdada Sugar Institute Colony,regular
4717871956,place,neighbourhood,regular
4748355841,building,college,regular
4748355841,levels,1,building
4748355841,height,12,regular
4748355841,door,yes,indoor
4748355841,level,0,indoor
4748355841,name,trial,regular
